S#,Title,Date,Fatalities,Injured,Total victims,Mental Health Issues,Race,Gender,Latitude,Longitude,Cities,State,Gun law,Party affiliation
190,IHOP shooting,9/6/2011,5,7,12,Yes,Latino,M,39.1637984,-119.76740339999999,Carson City,Nevada,C,Democrat
212,Mojave High School Bus,12/11/2007,0,6,6,No,Black,M,36.18931923,-115.3264875,Las Vegas,Nevada,C,Democrat
310,Valley High School,3/19/1982,1,2,3,Yes,White,M,36.18931923,-115.3264875,Las Vegas,Nevada,C,Democrat
2,San Francisco UPS shooting,6/14/2017,3,2,5,Yes,Asian,M,,,San Francisco,California,A,Democrat
6,Fresno downtown shooting,4/18/2017,3,0,3,Unknown,Black,M,,,Fresno,California,A,Democrat
19,Long Beach Street murder,4/18/2016,0,3,4,Unknown,Unknown,Unknown,33.77005,-118.193739,,California,A,Democrat
46,Riverside restaurant shooting,2/28/2016,1,3,4,Unknown,Unknown,M,33.997197,-117.48548000000001,,California,A,Democrat
59,"Vallejo, CA car shooting",2/19/2016,2,2,4,Unknown,Unknown,Unknown,38.104085999999995,-122.25663700000001,,California,A,Democrat
72,Los Angeles Drive-by,1/23/2016,2,2,4,Unknown,Unknown,Unknown,34.052234000000006,-118.24368500000001,,California,A,Democrat
78,San Bernardino mass shooting,12/2/2015,14,21,35,Unknown,Unknown,Unknown,,,San Bernardino,California,A,Democrat
79,"San Bernardino, California",12/2/2015,16,21,35,Unknown,Asian,Unknown,34.13973446,-117.29424440000001,San Bernardino,California,A,Democrat
152,Isla Vista mass murder,5/23/2014,6,13,19,Yes,White,M,,,Santa Barbara,California,A,Democrat
156,San Francisco Tenderloin,3/23/2014,0,8,8,No,Black,M,37.75457839,-122.44243429999999,San Francisco,California,A,Democrat
157,Cedarville Rancheria Tribe,2/20/2014,4,2,6,No,Native,F,41.4911123,-120.54909099999999,Alturas,California,A,Democrat
159,Los Angeles International Airport (LAX),11/1/2013,1,3,4,No,White,M,34.17622092,-118.53995420000001,Los Angeles,California,A,Democrat
166,Santa Monica College,6/7/2013,6,3,8,Yes,White,M,34.02319149,-118.48156440000001,Santa Monica,California,A,Democrat
170,"Ladera Ranch, Santa Ana, Tustin and Orange",2/19/2013,4,3,6,Yes,White,M,33.54961059,-117.64157069999999,Ladera Ranch,California,A,Democrat
171,Los Angeles Police Department,2/3/2013,4,2,7,Yes,Black,M,33.67803464,-117.773628,Irvine,California,A,Democrat
185,Oikos University killings,4/2/2012,7,3,10,Yes,Asian,M,37.8043808,-122.2708166,Oakland,California,A,Democrat
189,Salon Meritage,10/12/2011,8,1,9,Yes,White,M,33.75432632,-118.0715378,Seal Beach,California,A,Democrat
202,"Rivermark, Santa Clara, California",3/29/2009,6,1,6,No,Asian,M,37.36463172,-121.96793149999999,Santa Clara,California,A,Democrat
205,"Covina, California",12/24/2008,10,2,11,No,White,M,34.09026669,-117.88199579999998,Covina,California,A,Democrat
227,Goleta Post Office,1/30/2006,8,0,7,Yes,White,F,34.43606107,-119.8593619,Goleta,California,A,Democrat
238,Santana High School,3/5/2001,2,13,15,No,White,M,32.86357277,-117.1281628,"Santee, San Diego",California,A,Democrat
248,Riverside City Hall,10/6/1998,0,6,6,No,Black,M,33.93814348,-117.3948409,Riverside,California,A,Democrat
